0,1,2,3
AAIT,2.186532497406006,0.03402506187558174,"0.113, 0.112, 0.112, 0.115, 0.115, 0.111, 0.113"
AAL,19.046232223510742,0.0007755571277812123,"20.17000008, 20.54000092, 21.46999931, 21.38999939, 21.64999962,
 20.52000046, 21.01000023"
AAME,4.496796607971191,0.0002914311771746725,"4.34000015, 4.48000002, 4.17999983, 4.17999983, 4.21000004, 4.1500001 ,
 3.96000004"
AAOI,21.262813568115234,0.025574881583452225,"6.9000001 , 6.86999989, 6.86999989, 6.80999994, 7.19000006, 7.17999983,
 7.03999996"
AAON,63.20154571533203,0.00043590684072114527,"69.86000061, 67.62999725, 67.87000275, 67.08000183, 66.61000061,
 65.33999634, 66.27999878"
AAPL,131.72933959960938,0.0001684091694187373,"143.28999329, 142.        , 141.11000061, 139.13999939, 142.6499939 ,
 141.5       , 142.83000183"
AAVL,6.825077056884766,0.031308166682720184,"11.89000034, 11.        , 10.89000034, 11.        , 10.96000004,
 11.39999962, 11.44999981"
AAWW,59.39934158325195,0.007582954131066799,"83.19999695, 84.12999725, 85.56999969, 84.19000244, 83.48999786,
 81.68000031, 85.19999695"
AAXJ,86.00653839111328,0.0015931373927742243,"85.41999817, 83.62000275, 83.98999786, 83.44000244, 84.66000366,
 84.93000031, 84.37999725"
ABAX,75.63838195800781,0.0002194519038312137,"83.        , 83.        , 83.08999634, 83.05000305, 83.23000336,
 83.12999725, 83.09999847"
ABCB,42.56663131713867,0.002691783243790269,"53.13000107, 52.15999985, 52.61999893, 53.47000122, 53.08000183,
 51.88000107, 53.29000092"
ABCD,13.461821556091309,0.000735443492885679,"14.47999954, 14.47999954, 14.47999954, 14.47999954, 14.47999954,
 14.47000027, 14.47999954"
ABCO,0.9840352535247803,0.03675871714949608,"0.83999997, 0.83999997, 0.83999997, 0.82999998, 0.83999997, 0.83999997,
 0.83999997"
ABIO,127439.046875,0.004428263287991285,"2.75      , 2.76999998, 2.80999994, 2.8900001 , 2.97000003, 2.96000004,
 2.80999994"
ABMD,338.0677185058594,0.00023856664483901113,"340.29998779, 337.29998779, 332.47000122, 313.86999512, 323.32998657,
 325.51998901, 329.51000977"
ACAD,15.981657981872559,0.0005975530366413295,"17.05999947, 16.87000084, 16.92000008, 16.79000092, 17.47999954,
 16.61000061, 16.95999908"
ACET,41.87397766113281,0.04718882590532303,"7.5999999 , 7.36999989, 7.5       , 8.15999985, 8.13000011, 7.84000015,
 8.03999996"
ACFC,9.623988151550293,0.0009124023490585387,"10.89000034, 10.89000034, 10.90999985, 10.96000004, 11.        ,
 10.86999989, 10.89000034"
ACFN,0.6410920023918152,0.00030802571563981473,"0.61000001, 0.61000001, 0.60000002, 0.62      , 0.63      , 0.63999999,
 0.62      "
ACGL,39.52727508544922,0.00015363974671345204,"40.70999908, 39.99000168, 39.59999847, 38.18999863, 38.18000031,
 38.18000031, 38.84000015"
ACHC,60.630062103271484,0.0002254255668958649,"60.13999939, 60.63999939, 61.06000137, 64.56999969, 65.48999786,
 63.77999878, 64.25      "
ACIW,31.255874633789062,0.00020770907576661557,"30.81999969, 30.39999962, 30.69000053, 30.60000038, 31.45999908,
 30.72999954, 31.02000046"
ACLS,47.881248474121094,0.0003557113523129374,"47.45999908, 45.88000107, 45.95000076, 45.52000046, 47.81000137,
 47.02999878, 46.70999908"
ACNB,29.09066390991211,0.00027539467555470765,"28.60000038, 28.59000015, 28.40999985, 28.03000069, 28.12999916,
 28.        , 28.34000015"
ACOR,14.371447563171387,0.0014496489893645048,"4.1500001 , 4.13000011, 4.13999987, 4.42999983, 4.63999987, 4.5999999 ,
 4.69000006"
ACRX,1.7125954627990723,0.0010107302805408835,"1.        , 1.01999998, 1.01999998, 1.        , 1.00999999, 1.01999998,
 1.02999997"
ACST,-1.7837328910827637,0.0014124916633591056,"1.79999995, 1.82000005, 1.76999998, 1.88      , 2.00999999, 2.        ,
 1.96000004"
ACTA,16.4481201171875,0.00016546242113690823,"1.        , 1.04999995, 1.04999995, 1.05999994, 1.03199995, 1.02999997,
 1.02999997"
ACTG,5.615074157714844,0.0004731127992272377,"6.03000021, 5.92000008, 6.07000017, 6.26999998, 6.88000011, 6.78999996,
 7.        "
ACUR,4.234574317932129,0.00024605257203802466,"0.51999998, 0.5       , 0.50999999, 0.51999998, 0.51999998, 0.52999997,
 0.54000002"
ACWI,97.24317932128906,0.0005209588562138379,"101.55999756, 100.45999908, 100.37999725,  99.51999664, 100.76000214,
  99.91999817, 100.63999939"
ACWX,54.58464050292969,0.0005728681571781635,"55.68000031, 55.        , 55.31999969, 54.97000122, 55.68000031,
 55.40999985, 55.43000031"
ADBE,550.9244384765625,0.0004597812658175826,"578.96002197, 570.30999756, 566.70001221, 558.48999023, 577.4699707 ,
 575.7199707 , 577.70001221"
ADES,5.877941608428955,0.002102204132825136,"6.36999989, 6.34000015, 6.34000015, 6.30999994, 6.3499999 , 6.38999987,
 6.44999981"
ADI,146.98092651367188,0.00033294939203187823,"166.97999573, 166.05000305, 165.36999512, 164.25999451, 167.36999512,
 167.47999573, 168.83999634"
ADMA,4.520262718200684,0.0351361520588398,"1.13999999, 1.12      , 1.13999999, 1.14999998, 1.19000006, 1.13      ,
 1.13      "
ADMP,-21.380657196044922,0.0006385631859302521,"1.02999997, 1.00999999, 1.00999999, 1.03999996, 1.00999999, 0.97000003,
 0.95999998"
ADMS,4.1991472244262695,0.0006008332711644471,"4.51000023, 4.67000008, 4.55000019, 4.63999987, 4.76000023, 4.90999985,
 4.86999989"
ADP,193.67108154296875,0.00011722661292878911,"207.57000732, 204.99000549, 203.75999451, 199.97000122, 202.        ,
 199.91999817, 199.58000183"
ADRA,9.743951797485352,0.026066668331623077,"9.81000042, 9.78999996, 9.80000019, 9.78999996, 9.78999996, 9.80000019,
 9.78999996"
ADRD,21.981510162353516,0.007469911128282547,"22.22500038, 22.22500038, 22.38500023, 22.07500076, 22.07500076,
 22.08499908, 22.26499939"
ADRE,41.45278549194336,0.004582202527672052,"49.13999939, 47.40999985, 47.59000015, 46.99000168, 48.04000092,
 48.38000107, 48.09999847"
ADRU,21.74013328552246,0.000794716295786202,"21.56999969, 21.56999969, 21.60000038, 21.60000038, 21.44499969,
 21.44499969, 21.63209915"
ADSK,277.9202575683594,0.00011456802894826978,"283.01998901, 277.42001343, 275.98001099, 272.92999268, 284.05999756,
 285.17001343, 287.98999023"
ADTN,19.423892974853516,0.0014729514950886369,"19.02000046, 18.70000076, 18.69000053, 18.59000015, 18.80999947,
 18.76000023, 18.42000008"
ADUS,79.28718566894531,0.0009237334597855806,"74.72000122, 74.58999634, 75.73999786, 77.02999878, 78.95999908,
 79.75      , 82.26999664"
ADXS,7.091667175292969,0.0003833097580354661,"0.47      , 0.45300001, 0.45899999, 0.49700001, 0.50999999, 0.52200001,
 0.498     "
AEHR,11.881561279296875,0.0008368549169972539,"16.65999985, 13.60999966, 13.72000027, 13.07999992, 12.60000038,
 13.64999962, 13.84000015"
AEIS,87.8072509765625,0.00048743380466476083,"88.41000366, 85.41000366, 85.41999817, 85.30999756, 88.84999847,
 87.75      , 90.22000122"
AERI,15.246126174926758,0.0010697683319449425,"12.        , 11.63000011, 11.63000011, 11.34000015, 11.43999958,
 11.39999962, 11.31999969"
AEY,2.087002754211426,0.00029148691100999713,"2.28999996, 2.3599999 , 2.38000011, 2.31999993, 2.36999989, 2.3599999 ,
 2.3599999 "
AEZS,59.554141998291016,0.0003994294675067067,"0.61110002, 0.61000001, 0.67000002, 0.75999999, 0.76999998, 0.75      ,
 0.60000002"
AFAM,nan,nan,"nan, nan, nan, nan, nan, nan, nan"
AFCB,nan,nan,"nan, nan, nan, nan, nan, nan, nan"
